Yoksis_Id,Ust_Yoksis_Id,Birim_Tur_Id,Adi,Kisa_Adi,Tablo_Adi,Ref_Id,Sira_No,Aktifmi,Faalmi,Ana_Yoksis_Id,KurumTip,UstKurumTip
10000001,50269082,0,İLAHİYAT BÖLÜM BAŞKANLIĞI,İLAHİYAT BB,,NULL,NULL,1,1,76836208,1,23
10016880,82450252,0,TOPLUM VE İLETİŞİM ANABİLİM DALI BAŞKANLIĞI,TOPLUM VE İLETİŞİM ABD,,NULL,NULL,1,1,76836208,1,23
10019376,78707876,0,JEOLOJİ MÜHENDİSLİĞİ ANABİLİM DALI BAŞKANLIĞI,JEOLOJİ MÜHENDİSLİĞİ ABD,,NULL,NULL,1,1,76836208,1,23
10069549,23995034,0,VETERİNERLİK PARAZİTOLOJİSİ ANABİLİM DALI BAŞKANLIĞI,VETERİNERLİK PARAZİTOLOJİSİ ABD,,NULL,NULL,1,1,76836208,1,23
10124640,14129312,0,BİLGİ İŞLEM BİRİMİ,BİLGİ İŞLEM BİRİMİ,,NULL,NULL,1,1,76836208,1,144
10314057,50269082,0,İSLAM TARİHİ VE SANATLARI BÖLÜM BAŞKANLIĞI,İSLAM TARİHİ VE SANATLARI BB,,NULL,NULL,1,1,76836208,1,23
10316553,78707876,0,ENSTİTÜ KURULU,ENSTİTÜ KURULU,,NULL,NULL,1,1,76836208,1,137
10438054,86009405,0,İSTATİSTİK BİRİMİ,İSTATİSTİK BİRİMİ,,NULL,NULL,1,1,76836208,1,144
10503474,18351943,0,"AĞIZ, DİŞ VE ÇENE RADYOLOJİSİ ANABİLİM DALI BAŞKANLIĞI","AĞIZ, DİŞ VE ÇENE RADYOLOJİSİ ABD",,NULL,NULL,1,1,76836208,1,23
10604189,64039391,0,İDARİ İŞLER BİRİMİ,İDARİ İŞLER BİRİMİ,,NULL,NULL,1,1,76836208,1,144
