BirimSPlanVeriDosyaId,BirimSPlanVeriId,Path,Filename,Silindi,KanitTurId,FilenameP,EkleyenPersonelRol_Id,EkleyenZaman,KaldiranPersonelRol_Id,KaldiranZaman
2,64,SPLANBIRIMVERI/64/,A.1.1.1_Report2.pdf,0,19,Report2.pdf,NULL,NULL,NULL,NULL
3,63,SPLANBIRIMVERI/63/,A.1.2.1_Report2.pdf,0,30,Report2.pdf,NULL,NULL,NULL,NULL
11,1246,SPLANBIRIMVERI/1246/,A.4.2.1_MİMF-MB. A.4.2.1. 2022-2023 GÜZ Mimarlık Bölümü Akademik Danışmanlık Toplantı Raporu.pdf,0,102,MİMF-MB. A.4.2.1. 2022-2023 GÜZ Mimarlık Bölümü Akademik Danışmanlık Toplantı Raporu.pdf,NULL,NULL,NULL,NULL
16,1246,SPLANBIRIMVERI/1246/,A.4.2.1_MİMF-MB. A.4.2.2. 2022-2023 Oryantasyon Programı Raporu.pdf,0,104,MİMF-MB. A.4.2.2. 2022-2023 Oryantasyon Programı Raporu.pdf,NULL,NULL,NULL,NULL
17,1246,SPLANBIRIMVERI/1246/,A.4.2.1_MİMF-MB. A.4.2.3. Mimarlık Bölümü Oryantasyon Programı.pdf,0,104,MİMF-MB. A.4.2.3. Mimarlık Bölümü Oryantasyon Programı.pdf,NULL,NULL,NULL,NULL
18,1246,SPLANBIRIMVERI/1246/,A.4.2.1_MİMF-MB. A.4.2.4. 2022-2023 Girişli Mimarlık Öğrencileri Akademik Danışmanlık Raporu.pdf,0,104,MİMF-MB. A.4.2.4. 2022-2023 Girişli Mimarlık Öğrencileri Akademik Danışmanlık Raporu.pdf,NULL,NULL,NULL,NULL
19,1246,SPLANBIRIMVERI/1246/,A.4.2.1_MİMF-MB. A.4.2.5. 2021-2022 Girişli Mimarlık Öğrencileri Akademik Danışmanlık Raporu.pdf,0,104,MİMF-MB. A.4.2.5. 2021-2022 Girişli Mimarlık Öğrencileri Akademik Danışmanlık Raporu.pdf,NULL,NULL,NULL,NULL
20,1246,SPLANBIRIMVERI/1246/,A.4.2.1_MİMF-MB. A.4.2.6. 2020-2021 Girişli Mimarlık Öğrencileri Akademik Danışmanlık Raporu.pdf,0,104,MİMF-MB. A.4.2.6. 2020-2021 Girişli Mimarlık Öğrencileri Akademik Danışmanlık Raporu.pdf,NULL,NULL,NULL,NULL
21,1246,SPLANBIRIMVERI/1246/,A.4.2.1_MİMF-MB. A.4.2.7. 2019-2020 Girişli Mimarlık Öğrencileri Akademik Danışmanlık Raporu.pdf,0,104,MİMF-MB. A.4.2.7. 2019-2020 Girişli Mimarlık Öğrencileri Akademik Danışmanlık Raporu.pdf,NULL,NULL,NULL,NULL
22,1246,SPLANBIRIMVERI/1246/,A.4.2.1_MİMF-MB. A.4.2.8. 2018-2019 Girişli Mimarlık Öğrencileri Akademik Danışmanlık Raporu.pdf,0,104,MİMF-MB. A.4.2.8. 2018-2019 Girişli Mimarlık Öğrencileri Akademik Danışmanlık Raporu.pdf,NULL,NULL,NULL,NULL
