Rapor_Sayisi,Hedef_Sayisi,Gerceklesen_Hedef,Tur_Tanımsız,Gercek,Tahmin
0,357,0,True,Başarısız,Başarısız
0,280,0,True,Başarısız,Başarısız
0,586,0,True,Başarısız,Başarısız
0,615,0,True,Başarısız,Başarısız
0,476,0,True,Başarısız,Başarısız
2,357,0,True,Başarısız,Başarısız
1,719,0,True,Başarısız,Başarısız
0,16,0,True,Başarısız,Başarısız
1,357,0,True,Başarısız,Başarısız
2,463,0,True,Başarısız,Başarısız
0,16,0,True,Başarısız,Başarısız
1,483,0,True,Başarısız,Başarısız
0,734,0,True,Başarısız,Başarısız
1,476,0,True,Başarısız,Başarısız
2,476,0,True,Başarısız,Başarısız
1,357,0,True,Başarısız,Başarısız
1,227,0,True,Başarısız,Başarısız
0,365,0,True,Başarısız,Başarısız
2,476,0,True,Başarısız,Başarısız
0,258,0,True,Başarısız,Başarısız
4,719,0,True,Başarısız,Başarısız
3,600,0,True,Başarısız,Başarısız
3,476,0,True,Başarısız,Başarısız
2,615,0,True,Başarısız,Başarısız
0,710,0,True,Başarısız,Başarısız
1,357,0,True,Başarısız,Başarısız
1,476,0,True,Başarısız,Başarısız
2,838,0,True,Başarısız,Başarısız
0,10,0,True,Başarısız,Başarısız
2,357,0,True,Başarısız,Başarısız
0,134,0,True,Başarısız,Başarısız
2,734,0,True,Başarısız,Başarısız
0,503,0,True,Başarısız,Başarısız
0,357,0,True,Başarısız,Başarısız
1,373,0,True,Başarısız,Başarısız
0,238,0,True,Başarısız,Başarısız
1,476,0,True,Başarısız,Başarısız
1,615,0,True,Başarısız,Başarısız
1,357,0,True,Başarısız,Başarısız
0,182,0,True,Başarısız,Başarısız
1,476,0,True,Başarısız,Başarısız
2,357,0,True,Başarısız,Başarısız
0,16,0,True,Başarısız,Başarısız
2,734,0,True,Başarısız,Başarısız
3,707,0,True,Başarısız,Başarısız
1,238,0,True,Başarısız,Başarısız
1,506,0,True,Başarısız,Başarısız
0,248,0,True,Başarısız,Başarısız
2,357,0,True,Başarısız,Başarısız
2,357,0,True,Başarısız,Başarısız
2,476,0,True,Başarısız,Başarısız
0,8,0,True,Başarısız,Başarısız
1,734,0,True,Başarısız,Başarısız
